num_circuit,num_qubits_each_circuit,dataset,average_throughput
10,5,NoTaDS,1840.0
10,6,FFD,4854.4
10,6,MILQ,3753.6
10,6,MTMC,4505.6
10,6,NoTaDS,3760.0
10,7,FFD,5393.6
10,7,MILQ,2993.6
10,7,MTMC,6137.6
10,7,NoTaDS,4640.0
10,8,FFD,6222.4
10,8,MILQ,17556.3855
10,8,MTMC,6222.4
10,8,NoTaDS,5520.0
10,9,FFD,9344.0
10,9,MILQ,2098195.75
10,9,MTMC,8297.6
10,9,NoTaDS,8995.2
10,10,FFD,8297.6
10,10,MILQ,481204744.2
10,10,MTMC,8297.6
10,10,NoTaDS,18339.2
11,2,FFD,994.9090909090909
11,2,MILQ,994.9090909090909
11,2,MTMC,994.9090909090909
11,2,NoTaDS,21.818181818181817
11,3,FFD,3002.181818181818
11,3,MILQ,2794.102958909091
11,3,MTMC,3002.181818181818
11,3,NoTaDS,384.0
11,4,FFD,10193.454545454546
11,4,MILQ,8813.090946
11,4,MTMC,10827.636363636364
11,4,NoTaDS,776.8181818181819
11,5,FFD,10193.454545454546
11,5,MILQ,5196101.818181818
11,5,MTMC,8290.90909090909
11,5,NoTaDS,1840.0
11,6,FFD,5096.727272727273
11,6,MILQ,2714.181818181818
11,6,MTMC,4786.909090909091
11,6,NoTaDS,3760.0
11,7,FFD,5111.272727272727
11,7,MILQ,3204.3739526072723
11,7,MTMC,5428.363636363636
11,7,NoTaDS,4640.0
11,8,FFD,6347.636363636364
11,8,MILQ,3890.909090909091
11,8,MTMC,6030.545454545455
11,8,NoTaDS,5520.0
11,9,FFD,9185.454545454546
11,9,MILQ,30715681.636363637
11,9,MTMC,10136.727272727272
11,9,NoTaDS,9819.636363636364
11,10,FFD,9819.636363636364
11,10,MILQ,6782.772725909091
11,10,MTMC,9502.545454545454
11,10,NoTaDS,19956.363636363636
12,2,FFD,912.0
12,2,MILQ,912.0
12,2,MTMC,912.0
12,2,NoTaDS,20.041666666666668
12,3,FFD,2752.0
12,3,MILQ,2294.916697666667
12,3,MTMC,2752.0
12,3,NoTaDS,352.125
12,4,FFD,8762.666666666666
12,4,MILQ,58020232.5
12,4,MTMC,10506.666666666666
12,4,NoTaDS,776.0
12,5,FFD,9925.333333333334
12,5,MILQ,8658.666666666666
12,5,MTMC,9344.0
12,5,NoTaDS,1840.0
12,6,FFD,4104.0
12,6,MILQ,5900.3834106375
12,6,MTMC,4678.666666666667
12,6,NoTaDS,3760.0
12,7,FFD,5709.333333333333
12,7,MILQ,2950.6666666666665
12,7,MTMC,4976.0
12,7,NoTaDS,4640.0
12,8,FFD,5466.666666666667
12,8,MILQ,7773.333333333333
12,8,MTMC,6629.333333333333
12,8,NoTaDS,5520.0
12,9,FFD,9344.0
12,9,MILQ,20900.305
12,9,MTMC,9053.333333333334
12,9,NoTaDS,8762.666666666666
12,10,FFD,9053.333333333334
12,10,MILQ,55509.987499999996
12,10,MTMC,9344.0
12,10,NoTaDS,17525.333333333332
13,2,FFD,1122.4615384615386
13,2,MILQ,603.0769230769231
13,2,MTMC,1122.4615384615386
13,2,NoTaDS,18.53846153846154
13,3,FFD,2963.6923076923076
13,3,MILQ,2363.076923076923
13,3,MTMC,2963.6923076923076
13,3,NoTaDS,379.0769230769231
13,4,FFD,9257.846153846154
13,4,MILQ,4738.461538461538
13,4,MTMC,10331.076923076924
13,4,NoTaDS,771.7692307692307
13,5,FFD,9794.461538461539
13,5,MILQ,1095272.7692307692
13,5,MTMC,10867.692307692309
13,5,NoTaDS,1840.0
13,6,FFD,4897.2307692307695
13,6,MILQ,5506.688821873076
13,6,MTMC,5171.692307692308
13,6,NoTaDS,3760.0
13,7,FFD,4909.538461538462
13,7,MILQ,5726.7692307692305
13,7,MTMC,5177.846153846154
13,7,NoTaDS,4640.0
13,8,FFD,6704.0
